INDEX,YEAR,MN,5HR,6HR,7HR,8HR,9HR,10HR,11HR,12HR,13HR,14HR,15HR,16HR,17HR,18HR,19HR,20HR,DTRAD,BHSS
42701,2009,5,0,0.07,0.27,0.43,0.71,0.83,0.89,0.85,0.89,0.87,0.66,0.49,0.3,0.11,0.01,0,7.38,0
42701,2009,6,0,0.11,0.39,0.63,0.86,1.03,1.15,1.11,1.15,1.01,0.85,0.64,0.41,0.18,0.02,0,9.54,0
42701,2009,7,0,0.05,0.27,0.56,0.87,1.14,1.33,1.3,1.32,1.1,0.81,0.6,0.4,0.16,0.01,0,9.92,0
42701,2009,8,0,0.03,0.25,0.56,0.81,1.19,1.28,1.36,1.25,1.11,0.91,0.64,0.38,0.13,0.01,0,9.9,0
42701,2009,10,0,0.03,0.26,0.45,0.58,0.7,0.81,0.84,0.75,0.69,0.54,0.35,0.11,0,0,0,6.12,0
42701,2009,11,0,0.01,0.22,0.44,0.63,0.79,0.83,0.8,0.72,0.64,0.46,0.22,0.03,0,0,0,5.8,0
42701,2009,12,0,0,0.09,0.34,0.51,0.65,0.74,0.74,0.7,0.59,0.45,0.27,0.04,0,0,0,5.12,0
42701,2010,1,0,0,0.06,0.31,0.47,0.59,0.67,0.71,0.67,0.61,0.5,0.34,0.14,0,0,0,5.08,0
42701,2010,2,0,0,0.07,0.3,0.5,0.65,0.74,0.74,0.76,0.74,0.66,0.5,0.25,0.03,0,0,5.94,0
42701,2010,3,0,0.01,0.11,0.4,0.53,0.66,0.8,0.84,0.79,0.77,0.68,0.52,0.32,0.09,0,0,6.5,0
42701,2010,4,0,0.03,0.28,0.53,0.68,0.78,0.83,0.91,0.9,0.89,0.82,0.65,0.4,0.1,0,0,7.79,0
42701,2010,5,0,0.16,0.44,0.72,0.94,1.08,1.21,1.21,1.14,1.11,0.89,0.65,0.37,0.09,0,0,10.01,0
42701,2010,6,0,0.18,0.45,0.71,0.97,1.2,1.27,1.37,1.17,0.97,0.78,0.6,0.3,0.09,0,0,10.06,0
