STATION,DATETIME,DIFFUSE MJ/m^2,GLOBAL MJ/m^2,YEAR,MONTH,HOUR,HOUR_SIN,HOUR_COS,MONTH_SIN,MONTH_COS,DIRECT MJ/m^2
Jodhpur,2023-01-15 20:00:00,0.0,0.0,2023,1,20,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.0
Jodhpur,2023-02-15 05:00:00,0.0,0.0,2023,2,5,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.0
Jodhpur,2023-02-15 06:00:00,0.0,0.0,2023,2,6,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0
Jodhpur,2023-02-15 07:00:00,0.06,0.08,2023,2,7,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.020000000000000004
Jodhpur,2023-02-15 08:00:00,0.27,0.61,2023,2,8,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.33999999999999997
Jodhpur,2023-02-15 09:00:00,0.42,1.35,2023,2,9,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.9300000000000002
Jodhpur,2023-02-15 10:00:00,0.54,1.98,2023,2,10,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,1.44
Jodhpur,2023-02-15 11:00:00,0.59,2.44,2023,2,11,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,1.85
Jodhpur,2023-02-15 12:00:00,0.61,2.72,2023,2,12,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,2.1100000000000003
Jodhpur,2023-02-15 13:00:00,0.62,2.73,2023,2,13,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,2.11
Jodhpur,2023-02-15 14:00:00,0.62,2.45,2023,2,14,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,1.83
Jodhpur,2023-02-15 15:00:00,0.55,1.97,2023,2,15,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,1.42
Jodhpur,2023-02-15 16:00:00,0.43,1.29,2023,2,16,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.8600000000000001
Jodhpur,2023-02-15 17:00:00,0.27,0.59,2023,2,17,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.31999999999999995
Jodhpur,2023-02-15 18:00:00,0.05,0.06,2023,2,18,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.009999999999999995
Jodhpur,2023-02-15 19:00:00,0.0,0.0,2023,2,19,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0.0
Jodhpur,2023-02-15 20:00:00,0.0,0.0,2023,2,20,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0
Jodhpur,2023-03-15 05:00:00,0.0,0.0,2023,3,5,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,0.0
Jodhpur,2023-03-15 06:00:00,0.0,0.0,2023,3,6,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.0
Jodhpur,2023-03-15 07:00:00,0.1,0.15,2023,3,7,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,0.04999999999999999
Jodhpur,2023-03-15 08:00:00,0.32,0.77,2023,3,8,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0.45
Jodhpur,2023-03-15 09:00:00,0.47,1.56,2023,3,9,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,1.09
Jodhpur,2023-03-15 10:00:00,0.55,2.22,2023,3,10,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,1.6700000000000002
Jodhpur,2023-03-15 11:00:00,0.6,2.71,2023,3,11,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,2.11
Jodhpur,2023-03-15 12:00:00,0.62,2.96,2023,3,12,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,2.34
Jodhpur,2023-03-15 13:00:00,0.66,2.91,2023,3,13,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,2.25
Jodhpur,2023-03-15 14:00:00,0.65,2.65,2023,3,14,-0.4999999999999997,-0.8660254037844388,0.8660254037844386,0.5000000000000001,2.0
Jodhpur,2023-03-15 15:00:00,0.57,2.14,2023,3,15,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,1.5700000000000003
Jodhpur,2023-03-15 16:00:00,0.52,1.41,2023,3,16,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,0.8899999999999999
Jodhpur,2023-03-15 17:00:00,0.33,0.65,2023,3,17,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,0.32
Jodhpur,2023-03-15 18:00:00,0.08,0.1,2023,3,18,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,0.020000000000000004
Jodhpur,2023-03-15 19:00:00,0.0,0.0,2023,3,19,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,0.0
Jodhpur,2023-03-15 20:00:00,0.0,0.0,2023,3,20,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.0
Kolkata,1993-01-15 05:00:00,0.0,0.0,1993,1,5,0.9659258262890683,0.25881904510252074,0.0,1.0,0.0
Kolkata,1993-01-15 06:00:00,0.0,0.0,1993,1,6,1.0,6.123233995736766e-17,0.0,1.0,0.0
Kolkata,1993-01-15 07:00:00,0.02,0.03,1993,1,7,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.009999999999999998
Kolkata,1993-01-15 08:00:00,0.27,0.37,1993,1,8,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.09999999999999998
Kolkata,1993-01-15 09:00:00,0.57,0.97,1993,1,9,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.4
Kolkata,1993-01-15 10:00:00,0.77,1.56,1993,1,10,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.79
Kolkata,1993-01-15 11:00:00,0.92,2.01,1993,1,11,0.258819045102521,-0.9659258262890682,0.0,1.0,1.0899999999999999
Kolkata,1993-01-15 12:00:00,0.93,2.23,1993,1,12,1.2246467991473532e-16,-1.0,0.0,1.0,1.2999999999999998
Kolkata,1993-01-15 13:00:00,0.91,2.25,1993,1,13,-0.2588190451025208,-0.9659258262890683,0.0,1.0,1.3399999999999999
Kolkata,1993-01-15 14:00:00,0.8,1.99,1993,1,14,-0.4999999999999997,-0.8660254037844388,0.0,1.0,1.19
Kolkata,1993-01-15 15:00:00,0.67,1.53,1993,1,15,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.86
Kolkata,1993-01-15 16:00:00,0.5,0.96,1993,1,16,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.45999999999999996
Kolkata,1993-01-15 17:00:00,0.25,0.37,1993,1,17,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.12
Kolkata,1993-01-15 18:00:00,0.02,0.03,1993,1,18,-1.0,-1.8369701987210297e-16,0.0,1.0,0.009999999999999998
Kolkata,1993-01-15 19:00:00,0.0,0.0,1993,1,19,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.0
Kolkata,1993-01-15 20:00:00,0.0,0.0,1993,1,20,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.0
Kolkata,1993-02-15 05:00:00,0.0,0.0,1993,2,5,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.0
Kolkata,1993-02-15 06:00:00,0.0,0.0,1993,2,6,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0
Kolkata,1993-02-15 07:00:00,0.06,0.07,1993,2,7,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.010000000000000009
